Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),ALBs,Application Load Balancer,0,441.65000000000003,5299.80,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,2017.25,24207.00,USD,"Operating system (Linux), Quantity (16), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.2xlarge)"
My Estimate,US East (N. Virginia),App Server,Amazon EC2,0,2874.56,34494.72,USD,"Operating system (Linux), Quantity (16), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.2xlarge)"
My Estimate,US East (N. Virginia),NAT Gateway,Network Address Translation (NAT) Gateway,0,987.3,11847.60,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),RDS Servers,Amazon Aurora PostgreSQL-Compatible DB,0,9110.616,109327.39,USD,"Quantity (4), Instance type (db.r6g.8xlarge), Pricing strategy (Reserved 1yr No Upfront), Storage amount (5000 GB), Additional backup storage (5000 GB)"
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,1076.7,12920.40,USD,"Data transfer out to internet (10 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (1500000 per month)"
My Estimate,US East (N. Virginia),S3 Bucket,S3 Intelligent - Tiering,0,2074.52,24894.24,USD,S3 INT storage (100 TB per month)
My Estimate,US East (N. Virginia),Elastic IP,Amazon Elastic IP,0,7.3,87.60,USD,"Number of EC2 instances (2), Number of EIPs per instance (2)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
