Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),ALBs,Application Load Balancer,0,441.65000000000003,5299.80,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,516.31,6195.72,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.xlarge)"
My Estimate,US East (N. Virginia),App Server,Amazon EC2,0,374.4,4492.80,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.large)"
My Estimate,US East (N. Virginia),NAT Gateway,Network Address Translation (NAT) Gateway,0,493.65,5923.80,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),RDS Servers,Amazon Aurora PostgreSQL-Compatible DB,0,1414.0800000000002,16968.96,USD,"Quantity (2), Instance type (db.r6g.large), Pricing strategy (Reserved 1yr No Upfront), Storage amount (5000 GB), Additional backup storage (5000 GB)"
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,1076.7,12920.40,USD,"Data transfer out to internet (10 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (1500000 per month)"
My Estimate,US East (N. Virginia),S3 Bucket,S3 Intelligent - Tiering,0,2074.52,24894.24,USD,S3 INT storage (100 TB per month)
My Estimate,US East (N. Virginia),S3 Bucket,Data Transfer,0,0,0.00,USD,



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
